,country,method,ME,MSE,RMSE
0,CHN,Mean,1.4895484,2.673898,1.6352057
1,GBR,Mean,2.960128,10.999348,3.3165264
2,HKG,Mean,0.51329595,0.35469383,0.5955618
3,IND,Mean,0.85132587,1.2628592,1.1237701
4,IRN,Mean,4.942201,35.51351,5.9593215
5,ITA,Mean,4.850075,24.393654,4.938993
6,RUS,Mean,1.0533609,1.5610775,1.2494309
7,USA,Mean,0.6969419,0.71833783,0.8475481
8,VNM,Mean,0.27461112,0.094408564,0.30725977
9,ZAF,Mean,4.5288196,20.80903,4.5616918
10,CHN,Median,2.5264685,7.4480286,2.7291076
11,GBR,Median,2.5816422,9.257538,3.0426202
12,HKG,Median,1.3518835,2.0865126,1.4444766
13,IND,Median,0.90392905,1.4317966,1.1965771
14,IRN,Median,5.35879,47.532845,6.894407
15,ITA,Median,5.158425,27.744171,5.2672734
16,RUS,Median,0.8242411,1.035682,1.0176846
17,USA,Median,0.7557978,0.89844626,0.94786406
18,VNM,Median,0.2778536,0.09662366,0.31084347
19,ZAF,Median,4.0459447,16.830183,4.1024604
20,CHN,LOCF,2932015400000.0,9.228067e+24,3037773400000.0
21,GBR,LOCF,611389200000.0,6.61564e+23,813365850000.0
22,HKG,LOCF,112173080000.0,1.3305892e+22,115351170000.0
23,IND,LOCF,2.198611,7.9490595,2.8194077
24,IRN,LOCF,20.33341,441.97092,21.023104
25,ITA,LOCF,1355413600000.0,1.8946242e+24,1376453500000.0
26,USA,LOCF,1014168100000.0,1.4376111e+24,1199004200000.0
27,ZAF,LOCF,0.56288177,0.44249237,0.665201
28,CHN,NOCB,3.5811102,14.644591,3.8268251
29,GBR,NOCB,6.9009967,49.370266,7.0263977
30,HKG,NOCB,113754190000.0,1.3685931e+22,116986890000.0
31,IND,NOCB,1.0125968,1.3755243,1.1728275
32,ITA,NOCB,1.9219091,4.2661357,2.0654626
33,RUS,NOCB,2.972381,9.614691,3.1007564
34,USA,NOCB,2105.9119,6691887.0,2586.8682
35,VNM,NOCB,1414.6353,2235619.0,1495.1986
36,ZAF,NOCB,0.5478254,0.47843218,0.69168794
37,CHN,Rolling statistics,1994846600000.0,4.3957675e+24,2096608600000.0
38,GBR,Rolling statistics,597428700000.0,3.6821722e+23,606809000000.0
39,HKG,Rolling statistics,66951565000.0,4.980094e+21,70569780000.0
40,IND,Rolling statistics,2.1346083,5.6029906,2.3670638
41,IRN,Rolling statistics,5.4077253,33.166233,5.759013
42,ITA,Rolling statistics,851799000000.0,7.2922364e+23,853945940000.0
43,USA,Rolling statistics,811785700000.0,1.0517084e+24,1025528370000.0
44,ZAF,Rolling statistics,0.4610775,0.2753903,0.5247764
45,CHN,Interpolate,2414569800000.0,6.4383604e+24,2537392400000.0
46,GBR,Interpolate,531980880000.0,4.7101062e+23,686302170000.0
47,HKG,Interpolate,116564700000.0,1.4378989e+22,119912420000.0
48,IND,Interpolate,2.1580925,7.8200774,2.7964401
49,IRN,Interpolate,24.499834,640.4739,25.307585
50,ITA,Interpolate,1543593700000.0,2.5090374e+24,1583994100000.0
51,USA,Interpolate,1174527100000.0,1.838108e+24,1355768400000.0
52,ZAF,Interpolate,0.7499774,0.83416164,0.9133245
