Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,1.6011442,2.04406,0.21941268
Australia,Univariate,4.0064626,4.5796943,0.26843992
Brazil,Multivariate,3.5110323,4.782931,0.46129343
Brazil,Univariate,4.148545,6.7061114,0.40493426
Canada,Multivariate,0.60885555,1.1126195,0.10917882
Canada,Univariate,1.6666002,1.9369489,0.15767376
China,Multivariate,2.442799,2.8713808,0.0461155
China,Univariate,1.7704256,1.9556919,0.052826654
India,Multivariate,0.79515076,1.117993,0.034194395
India,Univariate,0.8151464,1.0322928,0.038544726
Japan,Multivariate,0.79230917,1.0860865,0.030153085
Japan,Univariate,1.38832,1.5766835,0.06569209
Singapore,Multivariate,2.5373685,3.3069308,0.106076956
Singapore,Univariate,2.559516,2.9345946,0.11515368
United Kingdom,Multivariate,1.358657,1.5549102,0.22938247
United Kingdom,Univariate,2.2275329,2.4133985,0.2166111
United States,Multivariate,0.5201998,0.70642173,0.06979686
United States,Univariate,0.73351854,0.85538447,0.07360973
