Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,1.9305273,2.5070193,0.24026306
Australia,Univariate,2.293414,2.5046408,0.24878643
Brazil,Multivariate,2.201898,2.9090362,0.14322026
Brazil,Univariate,3.8273172,6.278444,0.36798713
Canada,Multivariate,0.6024639,1.1603649,0.11080629
Canada,Univariate,1.1124789,1.5282738,0.20991649
China,Multivariate,2.3273816,2.8026297,0.048869897
China,Univariate,3.6230118,3.950565,0.04072363
India,Multivariate,0.75837004,1.0105689,0.03128423
India,Univariate,0.88559955,1.0870861,0.03733746
Japan,Multivariate,0.8861208,1.2168374,0.03343963
Japan,Univariate,0.71255064,0.9295565,0.04171727
Singapore,Multivariate,2.5309575,3.3679807,0.108312376
Singapore,Univariate,2.5293193,3.141239,0.112091616
United Kingdom,Multivariate,0.89621717,0.99642694,0.23099147
United Kingdom,Univariate,1.3144375,1.8219451,0.18133886
United States,Multivariate,0.3096707,0.45727676,0.040106505
United States,Univariate,0.92109734,1.0833775,0.050415944
