Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,1.9129978,2.292278,0.022149073
Australia,Univariate,1.5453973,1.9548461,0.019639593
Brazil,Multivariate,3.577341,5.2502213,0.09528096
Brazil,Univariate,4.468337,5.782536,0.10167181
Canada,Multivariate,2.2772868,2.6264982,0.025884317
Canada,Univariate,2.38536,2.7354364,0.023510551
China,Multivariate,7.3092365,8.35876,0.15878832
China,Univariate,6.853048,8.360949,0.14632818
India,Multivariate,3.827654,4.4385533,0.11358105
India,Univariate,4.0049143,4.3658466,0.09292754
Japan,Multivariate,1.8517452,2.2072608,0.023227895
Japan,Univariate,1.0075309,1.2595048,0.0256901
Singapore,Multivariate,3.5169032,4.6125283,0.06294613
Singapore,Univariate,3.389593,4.4491873,0.04074128
United Kingdom,Multivariate,1.358016,1.9024092,0.026193669
United Kingdom,Univariate,1.3655857,1.7236915,0.026281135
United States,Multivariate,1.1988871,1.5475624,0.015417002
United States,Univariate,1.1781517,1.5490849,0.015011982
