Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,1.0741328,1.4120564,0.01590691
Australia,Univariate,1.2626058,1.6842198,0.024957202
Brazil,Multivariate,3.8298295,5.4132915,0.10461484
Brazil,Univariate,5.3996644,6.4776983,0.11343302
Canada,Multivariate,2.011536,2.269649,0.025358384
Canada,Univariate,2.2652965,2.4919143,0.025261048
China,Multivariate,6.660773,8.239006,0.22973748
China,Univariate,6.6360836,8.349124,0.17419699
India,Multivariate,3.794425,4.1818376,0.10569357
India,Univariate,3.6442444,4.7361183,0.088952415
Japan,Multivariate,1.4502327,1.7277628,0.027402291
Japan,Univariate,0.92619437,1.0350078,0.025199037
Singapore,Multivariate,3.4362736,3.748039,0.0428129
Singapore,Univariate,4.314498,5.528651,0.039858554
United Kingdom,Multivariate,1.4173803,1.8467488,0.025025735
United Kingdom,Univariate,1.742197,2.0005424,0.029515125
United States,Multivariate,1.2383181,1.6493981,0.015705662
United States,Univariate,1.4818789,1.8480544,0.017389458
