Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,4.313551,4.9996667,0.23127127
Australia,Univariate,2.1707633,2.5412498,0.29258132
Brazil,Multivariate,4.435464,6.462385,0.39460322
Brazil,Univariate,6.643418,6.9604044,0.36828488
Canada,Multivariate,1.2023206,1.6128638,0.159574
Canada,Univariate,3.1546686,3.43664,0.15719001
China,Multivariate,2.692819,3.186482,0.043133043
China,Univariate,1.7796406,1.9228805,0.043582663
India,Multivariate,0.8204292,1.0501916,0.037952054
India,Univariate,0.83175856,1.0408045,0.039940566
Japan,Multivariate,0.9332755,1.1417611,0.044271495
Japan,Univariate,0.6973956,0.83364326,0.041727237
Singapore,Multivariate,2.741609,3.3857872,0.108620994
Singapore,Univariate,2.58705,3.1445746,0.11030889
United Kingdom,Multivariate,1.195731,1.7111691,0.1899318
United Kingdom,Univariate,1.6092638,1.9156077,0.22630192
United States,Multivariate,0.4944795,0.666298,0.051487014
United States,Univariate,0.8955343,1.0654415,0.054212827
