Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,2.643154,3.1916442,0.25204927
Australia,Univariate,3.2161725,3.6522064,0.29471102
Brazil,Multivariate,7.306572,7.801135,0.23849306
Brazil,Univariate,5.184562,5.9136124,0.2920942
Canada,Multivariate,1.2779312,1.6643106,0.13634343
Canada,Univariate,1.3522825,1.699376,0.19710645
China,Multivariate,3.245973,3.7398007,0.040463142
China,Univariate,3.7758744,4.1358833,0.04939582
India,Multivariate,0.79011476,1.0149689,0.037888978
India,Univariate,0.7900635,1.0170063,0.04962908
Japan,Multivariate,0.90291166,1.1768206,0.044167317
Japan,Univariate,0.6574111,0.8191364,0.044125505
Singapore,Multivariate,2.5788743,3.1221325,0.10926203
Singapore,Univariate,2.676691,2.989977,0.12064975
United Kingdom,Multivariate,1.8674122,2.0675318,0.2016805
United Kingdom,Univariate,1.0698296,1.8254653,0.19927472
United States,Multivariate,0.94213474,1.0688444,0.07354948
United States,Univariate,0.67058736,0.8460394,0.086818695
