Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,1.5206116,1.9704415,0.025209745
Australia,Univariate,1.0463036,1.5133653,0.01673523
Brazil,Multivariate,6.6016684,7.5990868,0.099647164
Brazil,Univariate,4.1842365,5.5636244,0.10800844
Canada,Multivariate,2.5478628,2.9143257,0.028067099
Canada,Univariate,1.5165569,1.8557267,0.028542556
China,Multivariate,6.7853827,8.169294,0.1544621
China,Univariate,6.3361306,7.5437856,0.18989697
India,Multivariate,3.5610158,3.8974664,0.09449082
India,Univariate,4.059778,5.144718,0.09367739
Japan,Multivariate,1.3766758,1.6411949,0.022249639
Japan,Univariate,0.9113617,1.1996247,0.027469192
Singapore,Multivariate,3.3886073,4.518116,0.04491374
Singapore,Univariate,3.0575955,3.6908982,0.03811176
United Kingdom,Multivariate,1.4198157,1.7897235,0.026045548
United Kingdom,Univariate,1.5227352,2.069825,0.024488427
United States,Multivariate,1.8929776,2.2982206,0.018558536
United States,Univariate,1.2787565,1.6734444,0.014284126
