Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,1.0618993,1.2328159,0.0168964
Australia,Univariate,1.5357391,1.9511287,0.015211031
Brazil,Multivariate,6.7987986,7.687564,0.10000714
Brazil,Univariate,3.662388,4.8573723,0.095657885
Canada,Multivariate,2.2161868,2.4920483,0.03139413
Canada,Univariate,1.9708964,2.2645457,0.026199587
China,Multivariate,6.7098765,8.200919,0.15721528
China,Univariate,5.8622785,6.9684777,0.15187395
India,Multivariate,3.5853186,4.5797825,0.09358242
India,Univariate,4.24542,4.5830393,0.098370306
Japan,Multivariate,2.0618694,2.3743222,0.028176632
Japan,Univariate,1.3465198,1.57245,0.023303265
Singapore,Multivariate,3.2194378,4.088699,0.038532656
Singapore,Univariate,3.118401,4.088565,0.04205071
United Kingdom,Multivariate,1.4001261,1.7181678,0.024176968
United Kingdom,Univariate,1.4282459,1.8669612,0.02928347
United States,Multivariate,2.119093,2.5244167,0.015479328
United States,Univariate,1.7693988,2.108325,0.01400154
