Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,0.6258083,0.8386847,0.06423463
Australia,Univariate,1.2166445,1.239843,0.15096635
Brazil,Multivariate,1.8254105,2.0847917,0.113002725
Brazil,Univariate,2.5826185,2.8211768,0.13528138
China,Multivariate,1.4797254,1.7229354,0.035036337
China,Univariate,1.9029903,2.2064676,0.049797345
India,Multivariate,1.7370769,1.8246039,0.14039351
India,Multivariate,2.7691476,3.068447,0.25953487
India,Univariate,2.5833752,2.606174,0.21285154
India,Univariate,0.49793097,0.6527985,0.011815854
Japan,Multivariate,1.3107806,1.356159,0.073437355
Japan,Univariate,0.87769824,0.9584724,0.053658903
Singapore,Multivariate,7.0746336,7.3971214,0.3027074
Singapore,Univariate,3.4391482,3.575338,0.14823471
United Kingdom,Multivariate,0.9453588,1.1287841,0.08533158
United Kingdom,Univariate,0.6812923,0.81653786,0.030628743
United States,Multivariate,0.631704,0.67330956,0.04497093
United States,Univariate,0.32721788,0.3731623,0.03546946
