Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,0.58992875,0.7921046,0.072268136
Australia,Univariate,1.2154922,1.24172,0.15774466
Brazil,Multivariate,1.914881,2.2094517,0.16133359
Brazil,Univariate,2.6606264,2.885593,0.16370489
Canada,Multivariate,1.7352258,1.8269042,0.13464679
Canada,Univariate,2.5911217,2.6128886,0.21317916
China,Multivariate,1.4815822,1.727758,0.034874097
China,Univariate,1.8195732,2.0830233,0.045958396
India,Multivariate,2.539215,2.8562593,0.23712975
India,Univariate,0.4916076,0.64675695,0.0116618825
Japan,Multivariate,1.2825351,1.3282775,0.07257896
Japan,Univariate,0.88725483,0.9759944,0.0587213
Singapore,Multivariate,7.112203,7.4005957,0.30650407
Singapore,Univariate,3.4173315,3.5588155,0.14496064
United Kingdom,Multivariate,0.8858559,1.0518533,0.091023274
United Kingdom,Univariate,0.5473913,0.6821993,0.029560246
United States,Multivariate,0.6423868,0.68196064,0.04497866
United States,Univariate,0.34723318,0.39154616,0.03905255
